ENSDARG00000098417	SYN3
ENSDARG00000100422	PTPRO
ENSDARG00000102128	EPS8
ENSDARG00000103095	TBK1
ENSDARG00000102226	GPR19
ENSDARG00000104049	CREBL2
ENSDARG00000102474	DUSP16
ENSDARG00000100143	LRP6
ENSDARG00000104839	MANSC1
ENSDARG00000104373	SI:ZFOS-932H1.2
ENSDARG00000102121	PRR5B
ENSDARG00000102123	PHTF2
ENSDARG00000099787	ECHDC3
ENSDARG00000070546	MSGN1
ENSDARG00000045914	SI:CH211-51E12.7
ENSDARG00000045913	MRPS10
ENSDARG00000045911	TULP4A
ENSDARG00000045910	TMEM181
ENSDARG00000045909	DYNLT1
ENSDARG00000025073	RPL18A
ENSDARG00000031737	PTHLHA
ENSDARG00000099652	XPOT
ENSDARG00000101047	RTCB
ENSDARG00000099833	FBXO7
ENSDARG00000096118	OST4
ENSDARG00000045900	AGBL5
ENSDARG00000016968	TMEM214
ENSDARG00000102878	MAPRE3B
ENSDARG00000059311	DPYSL5B
ENSDARG00000017386	SOBPB
ENSDARG00000045898	SI:CH211-152C2.3
ENSDARG00000006060	AIM1B
ENSDARG00000104018	MTPN
ENSDARG00000070535	RIPPLY2
ENSDARG00000013789	SIM1B
ENSDARG00000063686	XRCC6BP1
ENSDARG00000087962	RPAP3
ENSDARG00000099313	NAGA
ENSDARG00000103102	FAM180A
ENSDARG00000102157	SI:CH211-117I20.2
ENSDARG00000098612	CHRM2A
ENSDARG00000102340	PTN
ENSDARG00000099129	PHLDA1
ENSDARG00000101813	NAP1L1
ENSDARG00000018149	SLC38A4
ENSDARG00000045886	SLC38A2
ENSDARG00000045885	SCAF11
ENSDARG00000007413	ARID2
ENSDARG00000045880	GAS2L3
ENSDARG00000009657	FGFR1OP2
ENSDARG00000093658	TM7SF3
ENSDARG00000026839	MED21
ENSDARG00000016979	PMPCB
ENSDARG00000070477	DNAJC2
ENSDARG00000045878	NUDT4B
ENSDARG00000045877	UBE2NB
ENSDARG00000079391	MRPL42
ENSDARG00000015921	PWP1
ENSDARG00000061544	ANO6
ENSDARG00000020812	SI:CH73-177H5.2
ENSDARG00000018618	CPSF6
ENSDARG00000045874	YEATS4
ENSDARG00000057468	KCNC2
ENSDARG00000045873	FRS2A
ENSDARG00000079143	SI:CH73-278M9.1
ENSDARG00000057714	CMAH
ENSDARG00000045224	GLIPR1A
ENSDARG00000011246	KRR1
ENSDARG00000053709	SI:CH73-89B15.3
ENSDARG00000039724	OSBPL8
ENSDARG00000070441	ZDHHC17
ENSDARG00000011961	CSRP2
ENSDARG00000008986	E2F7
ENSDARG00000008235	COG5
ENSDARG00000004592	GPR22A
ENSDARG00000006567	DUS4L
ENSDARG00000016231	BCAP29
ENSDARG00000016749	SLCO1C1
ENSDARG00000004227	PDE3A
ENSDARG00000006038	AEBP2
ENSDARG00000045870	PLEKHA5
ENSDARG00000017757	PIK3CG
ENSDARG00000030598	NAMPTA
ENSDARG00000077356	SYPL1
ENSDARG00000089860	ATXN7L1
ENSDARG00000039843	ZNF800B
ENSDARG00000077654	GRM8A
ENSDARG00000070414	SI:DKEY-61F9.1
ENSDARG00000067495	CABZ01076534.1
ENSDARG00000045867	SI:DKEY-61F9.2
ENSDARG00000033296	GPR37B
ENSDARG00000104357	TMEM229A
ENSDARG00000006283	WASLB
ENSDARG00000045864	LMOD2B
ENSDARG00000045863	ASB15B
ENSDARG00000016691	CD9B
ENSDARG00000059043	NTF3
ENSDARG00000075281	TBC1D30
ENSDARG00000023766	GNSA
ENSDARG00000039356	ZGC:194209
ENSDARG00000059064	RASSF3
ENSDARG00000063563	CREB3L2
ENSDARG00000039350	SSBP1
ENSDARG00000073963	SI:CH211-258F14.2
ENSDARG00000059053	SLC13A4
ENSDARG00000092677	COA6
ENSDARG00000020871	PTPRZ1B
ENSDARG00000039346	NDUFA5
ENSDARG00000059003	STRIP2
ENSDARG00000039340	TMEM209
ENSDARG00000070408	CCND2B
ENSDARG00000045858	TIGARB
ENSDARG00000045856	FGF6B
ENSDARG00000045854	FGF23
ENSDARG00000045853	RAD51AP1
ENSDARG00000045851	GALNT8B.1
ENSDARG00000095324	GALNT8B.2
ENSDARG00000015623	CECR1B
ENSDARG00000030694	ATP6V1E1B
ENSDARG00000096037	SI:CH211-214J24.14
ENSDARG00000045850	CCDC167
ENSDARG00000063481	SI:CH211-214J24.15
ENSDARG00000045847	SI:CH211-214J24.10
ENSDARG00000045846	OSGEP
ENSDARG00000045843	APEX1
ENSDARG00000045842	ZGC:113263
ENSDARG00000095332	SI:DKEY-14D8.1
ENSDARG00000096986	SI:DKEY-14D8.22
ENSDARG00000045836	MAPK11
ENSDARG00000006409	MAPK12B
ENSDARG00000045835	SI:DKEY-14D8.6
ENSDARG00000045834	SI:DKEY-14D8.7
ENSDARG00000034700	VEGFAB
ENSDARG00000024465	MRPS18A
ENSDARG00000017355	RSPH9
ENSDARG00000031956	TMEM63A
ENSDARG00000070220	POU3F2A
ENSDARG00000075956	FAXCA
ENSDARG00000009607	CCNC
ENSDARG00000054321	NGS
ENSDARG00000024654	PGM3
ENSDARG00000040610	SI:CH73-352P4.8
ENSDARG00000003200	FOXM1
ENSDARG00000091640	SI:CH73-352P4.5
ENSDARG00000073858	PEX26
ENSDARG00000088078	USP18
ENSDARG00000099560	LYRM5A
ENSDARG00000087120	SLC5A8
ENSDARG00000099280	UTP20
ENSDARG00000101680	ARL1
ENSDARG00000098745	TFEC
ENSDARG00000074223	MDFIC
ENSDARG00000005453	FOXP2
ENSDARG00000090468	PPP1R3AA
ENSDARG00000068701	GPR85
ENSDARG00000068705	TMEM168A
ENSDARG00000068708	IFRD1
ENSDARG00000024874	DOCK4B
ENSDARG00000102849	FO681361.1
ENSDARG00000045822	TNNT2E
ENSDARG00000018688	ELK3
ENSDARG00000006029	LTA4H
ENSDARG00000079470	CDK17
ENSDARG00000105096	SI:CH1073-67J19.1
ENSDARG00000104976	SI:CH1073-67J19.2
ENSDARG00000086740	PHYH
ENSDARG00000027799	UCMAA
ENSDARG00000045815	MCM10
ENSDARG00000078073	NUDT5
ENSDARG00000075025	CDC123
ENSDARG00000074905	CAMK1DA
ENSDARG00000002663	OPTN
ENSDARG00000074547	SI:CH211-240L19.8
ENSDARG00000076313	SI:CH211-240L19.7
ENSDARG00000074613	SI:CH211-240L19.6
ENSDARG00000039393	SI:CH211-240L19.5
ENSDARG00000039392	WNK1B
ENSDARG00000079824	NINJ2
ENSDARG00000076014	ERC1
ENSDARG00000031930	ERC1B
ENSDARG00000102464	WNT5B
ENSDARG00000045801	FBXL14B
ENSDARG00000101849	ADIPOR2
ENSDARG00000103537	TTLL12
ENSDARG00000102020	PNPLA3
ENSDARG00000101967	SULT4A1
ENSDARG00000088181	MPPED1
ENSDARG00000063097	SCUBE1
ENSDARG00000039681	SAMM50L
ENSDARG00000070230	ALDH1L2
ENSDARG00000077926	SI:DKEY-48P11.3
ENSDARG00000073881	SLC41A2B
ENSDARG00000034375	CHST11
ENSDARG00000039185	NFYBA
ENSDARG00000058127	HCFC2
ENSDARG00000045788	AVPR1AB
ENSDARG00000045789	SRGAP1B
ENSDARG00000045790	SI:CH211-125A15.1
ENSDARG00000058159	IPO8
ENSDARG00000063149	TMTC1
ENSDARG00000025859	LMF2B
ENSDARG00000058042	KITLGB
ENSDARG00000091656	LSM8
ENSDARG00000099821	TYMP
ENSDARG00000063054	SHANK3B
ENSDARG00000075501	CDNF
ENSDARG00000058030	HSPA14
ENSDARG00000045704	DCLRE1C
ENSDARG00000045705	MEIG1
ENSDARG00000033179	TMEM243B
ENSDARG00000025824	DMTF1
ENSDARG00000004386	SI:DKEY-153K10.9
ENSDARG00000045706	TSPAN9B
ENSDARG00000094732	MICAL3B
ENSDARG00000057983	SVOPL
ENSDARG00000063008	SI:DKEYP-27E10.3
ENSDARG00000057974	PARP12B
ENSDARG00000086650	TTC41
ENSDARG00000003570	HSP90B1
ENSDARG00000057942	GLT8D2
ENSDARG00000062983	FBXO18
ENSDARG00000045708	ADM2A
ENSDARG00000070126	SI:DKEY-22L11.6
ENSDARG00000062968	SBF1
ENSDARG00000057929	NAF1
ENSDARG00000057921	CCDC136B
ENSDARG00000018820	FLNCB
ENSDARG00000032799	KCND2
ENSDARG00000032389	TSPAN12
ENSDARG00000034326	ING3
ENSDARG00000045747	CPED1
ENSDARG00000094973	WNT16
ENSDARG00000045748	STAB2
ENSDARG00000045749	PPFIBP1A
ENSDARG00000045750	SYT10
ENSDARG00000095981	SI:CH211-161N3.5
ENSDARG00000045752	SI:CH211-161N3.4
ENSDARG00000092989	SI:CH211-161N3.3
ENSDARG00000045753	TMTC2A
ENSDARG00000045754	METTL25
ENSDARG00000045755	CCDC59
ENSDARG00000096083	SI:DKEY-21H14.8
ENSDARG00000096010	SI:DKEY-21H14.15
ENSDARG00000096184	SI:DKEY-21H14.14
ENSDARG00000094603	SI:DKEY-21H14.12
ENSDARG00000096047	SI:DKEY-21H14.3
ENSDARG00000096156	SI:DKEY-21H14.11
ENSDARG00000096187	SI:DKEY-21H14.10
ENSDARG00000096153	SI:DKEY-21H14.9
ENSDARG00000045758	CRACR2AB
ENSDARG00000045760	PRMT8B
ENSDARG00000001781	TSPAN11
ENSDARG00000019235	SEMA3AA
ENSDARG00000063299	PCLOA
ENSDARG00000070015	PIMR173
ENSDARG00000003822	ANKRD16
ENSDARG00000005451	GDI2
ENSDARG00000079698	ASB13A.1
ENSDARG00000045765	ASB13A.2
ENSDARG00000032765	NET1
ENSDARG00000025576	MKLN1
ENSDARG00000031228	PODXL
ENSDARG00000005891	CYB5R3
ENSDARG00000063255	BTBD11A
ENSDARG00000045768	CRY1AA
ENSDARG00000032242	TNNT2C
ENSDARG00000058366	SI:DKEY-222F8.3
ENSDARG00000017661	BRAF
ENSDARG00000020015	MRPS33
ENSDARG00000006747	TMEM178B
ENSDARG00000007639	CNOT4B
ENSDARG00000041665	MKRN1
ENSDARG00000087319	CECR6
ENSDARG00000058244	IL17RA1A
ENSDARG00000095461	PIMR171
ENSDARG00000074873	PIMR170
ENSDARG00000103215	PIMR169
ENSDARG00000019396	RERGLA
ENSDARG00000013476	ARHGEF39
ENSDARG00000008720	LMO3
ENSDARG00000032618	MGST1.1
ENSDARG00000022165	MGST1.2
ENSDARG00000005897	DERA
ENSDARG00000053127	HELB
ENSDARG00000053131	IRAK3
ENSDARG00000069912	HMGA2
ENSDARG00000045658	MSRB3
ENSDARG00000015824	LEMD3
ENSDARG00000005541	WIF1
ENSDARG00000078613	VHLL
ENSDARG00000014361	TMBIM4
ENSDARG00000094001	SI:DKEY-6A5.3
ENSDARG00000015053	GRIP1
ENSDARG00000017841	CAND1
ENSDARG00000045669	SI:DKEY-39A18.1
ENSDARG00000094646	DYRK2
ENSDARG00000092714	SI:CH211-266A5.12
ENSDARG00000024211	IFNG1-2
ENSDARG00000045671	IFNG1-1
ENSDARG00000045672	IL26
ENSDARG00000045673	IL22
ENSDARG00000045675	MDM1
ENSDARG00000045676	CALUA
ENSDARG00000045677	OPN1SW1
ENSDARG00000045680	TNPO3
ENSDARG00000045681	IRF5
ENSDARG00000045683	CCDC87
ENSDARG00000078745	PNPLA8
ENSDARG00000006396	NRCAMA
ENSDARG00000045685	CNTN1B
ENSDARG00000045687	PDZRN4
ENSDARG00000022550	GXYLT1B
ENSDARG00000015966	YAF2
ENSDARG00000045691	ZCRB1
ENSDARG00000045694	PRICKLE1B
ENSDARG00000094329	SI:DKEY-234L24.1
ENSDARG00000092409	SI:DKEY-234L24.7
ENSDARG00000069780	PUS7L
ENSDARG00000093588	SI:DKEY-234L24.8
ENSDARG00000011661	TWF1B
ENSDARG00000062797	NELL2B
ENSDARG00000018744	PRL2
ENSDARG00000020086	NUAK1A
ENSDARG00000015985	ABCC9
ENSDARG00000045589	KCNJ8
ENSDARG00000057334	CMASA
ENSDARG00000045594	SI:DKEY-14K9.2
ENSDARG00000045595	SI:DKEY-14K9.3
ENSDARG00000006215	AKR1B1
ENSDARG00000045598	SI:DKEY-180P18.9
ENSDARG00000017366	PRDM4
ENSDARG00000020101	PSMC2
ENSDARG00000022424	SLC26A5
ENSDARG00000004497	TSPAN33A
ENSDARG00000002952	SMO
ENSDARG00000045601	CAX1
ENSDARG00000007764	KLHDC10
ENSDARG00000062651	ZC3HC1
ENSDARG00000000019	UBE2H
ENSDARG00000000018	NRF1
ENSDARG00000019328	PLXNA4
ENSDARG00000032919	CHCHD3A
ENSDARG00000004336	EXOC4
ENSDARG00000069698	LRGUK
ENSDARG00000069692	COL7A1L
ENSDARG00000093135	SI:DKEY-117N7.2
ENSDARG00000092944	SI:DKEY-117N7.3
ENSDARG00000092064	SI:DKEY-117N7.4
ENSDARG00000089640	SI:DKEY-117N7.5
ENSDARG00000087241	UCN3L
ENSDARG00000034823	COPG2
ENSDARG00000032319	MEST
ENSDARG00000012684	ATP2B1A
ENSDARG00000056954	SI:DKEYP-38G8.5
ENSDARG00000056950	EPYC
ENSDARG00000056938	KERA
ENSDARG00000045580	LUM
ENSDARG00000012066	DCN
ENSDARG00000106732	BX322608.1
ENSDARG00000027249	BTG1
ENSDARG00000020749	CAPRIN2
ENSDARG00000032653	FAM60A
ENSDARG00000003789	DENND5B
ENSDARG00000023026	PKP2
ENSDARG00000027316	TCP11L2
ENSDARG00000004904	GYS2
ENSDARG00000093058	SI:DKEY-13I19.8
ENSDARG00000022795	GOLT1BA
ENSDARG00000056859	SPX
ENSDARG00000077985	KISS2
ENSDARG00000019644	LDHBA
ENSDARG00000027424	SLC25A3A
ENSDARG00000007315	TMPOA
ENSDARG00000007405	STRAP
ENSDARG00000019420	ETNK1
ENSDARG00000011582	SOX5
ENSDARG00000091957	SI:DKEY-172O10.8
ENSDARG00000016815	CASC1
ENSDARG00000045574	LRMP
ENSDARG00000045568	BCAT1
ENSDARG00000094132	IGF1
ENSDARG00000094191	NUP37
ENSDARG00000073959	PMCH
ENSDARG00000029944	PARPBP
ENSDARG00000038384	TH2
ENSDARG00000020143	PAH
ENSDARG00000038386	ASCL1A
ENSDARG00000007175	RECQL
ENSDARG00000002174	ITFG2
ENSDARG00000079985	NRIP2
ENSDARG00000006011	KLHL42
ENSDARG00000002128	CWF19L1
ENSDARG00000045563	CCDC53
ENSDARG00000045561	DRAM1
ENSDARG00000030153	GNPTAB
ENSDARG00000014572	CHPT1
ENSDARG00000045560	MYBPC1
ENSDARG00000012435	SPIC
ENSDARG00000016886	DNAJB9B
ENSDARG00000076690	AVPR2L
ENSDARG00000021239	APAF1
ENSDARG00000003512	ANKS1B
ENSDARG00000004055	UHRF1BP1L
ENSDARG00000015278	PLXNC1
ENSDARG00000028192	CRADD
ENSDARG00000045557	SOCS2
ENSDARG00000033757	NCAPH2
ENSDARG00000045555	SCO2
ENSDARG00000073965	SI:DKEY-202B22.5
ENSDARG00000045552	SI:DKEY-202B22.6
ENSDARG00000005547	RINT1
ENSDARG00000029018	CDKN1BA
ENSDARG00000095705	CDPF1
ENSDARG00000031777	PPARAA
ENSDARG00000022858	WNT7BA
ENSDARG00000008439	ATXN10
ENSDARG00000034717	DEF6C
ENSDARG00000069431	SLC26A4
ENSDARG00000003615	SLC26A3.2
ENSDARG00000007371	SLC26A3.1
ENSDARG00000015222	CBLL1
ENSDARG00000045549	BIK
ENSDARG00000008867	RAP1B
ENSDARG00000094428	SI:DKEY-31F5.8
ENSDARG00000029524	IMPDH1B
ENSDARG00000045548	LEPB
ENSDARG00000094118	SI:DKEY-21O22.2
ENSDARG00000006766	SND1
ENSDARG00000069402	LRRC4.1
ENSDARG00000021336	PAX4
ENSDARG00000045544	HGFA
ENSDARG00000014804	CACNA2D1A
ENSDARG00000001912	DRD4-RS
ENSDARG00000104301	ZGC:193726
ENSDARG00000045543	ATP6V1F
ENSDARG00000045542	LAMTOR4
ENSDARG00000045541	GCC1
ENSDARG00000011605	DENND6B
ENSDARG00000045540	PPP6R2A
ENSDARG00000056152	FAM3C
ENSDARG00000056145	SI:DKEY-159A18.1
ENSDARG00000101236	CEP83
ENSDARG00000037960	LRRC17
ENSDARG00000017163	SINUP
ENSDARG00000004794	CCDC146
ENSDARG00000019861	FGL2A
ENSDARG00000045481	GSAP
ENSDARG00000045482	STK38L
ENSDARG00000045483	LRTM2A
ENSDARG00000045484	DCP1B
ENSDARG00000008398	CACNA1C
ENSDARG00000009252	NAPEPLD
ENSDARG00000011764	ASUN
ENSDARG00000045485	RASSF8B
ENSDARG00000090038	BX248410.1
ENSDARG00000090277	BX248410.2
ENSDARG00000106413	BX248410.3
ENSDARG00000005476	NAV3
ENSDARG00000030614	SYT1A
ENSDARG00000045486	PAWR
ENSDARG00000010784	PPP1R12A
ENSDARG00000045487	RPS16
ENSDARG00000029830	MYF6
ENSDARG00000007277	MYF5
ENSDARG00000013414	LIN7A
ENSDARG00000032218	ACSS3
ENSDARG00000013000	PPFIA2
ENSDARG00000055360	LLPH
ENSDARG00000012729	HCLS1
ENSDARG00000061951	GOLGB1
ENSDARG00000021579	ORC5
ENSDARG00000021595	LHFPL3
ENSDARG00000007523	KMT2E
ENSDARG00000045490	NDUFB2
ENSDARG00000018111	KDM7AA
ENSDARG00000034300	SEMA3C
ENSDARG00000032639	CD36
ENSDARG00000021647	GNAI1
ENSDARG00000016010	NUP107
ENSDARG00000021590	MAGI2A
ENSDARG00000045493	SLC35E3
ENSDARG00000033443	MDM2
ENSDARG00000011769	CPM
ENSDARG00000022187	USP6NL
ENSDARG00000002131	CELF2
ENSDARG00000016526	GATA3
ENSDARG00000045513	TAF3
ENSDARG00000045514	ATP5C1
ENSDARG00000045515	KIN
ENSDARG00000045516	ITIH2
ENSDARG00000045517	ITIH5
ENSDARG00000045518	TMEM110L
ENSDARG00000045519	SFMBT2
ENSDARG00000034173	PRKCQ
ENSDARG00000001953	PFKFB3
ENSDARG00000031346	RBM17
ENSDARG00000069311	ZGC:195175
ENSDARG00000045524	LAMB1B
ENSDARG00000045525	TMCC3
ENSDARG00000042469	NDUFA12
ENSDARG00000045527	NR2C1
ENSDARG00000045528	FGD6
ENSDARG00000075215	VETZ
ENSDARG00000069261	METAP2A
ENSDARG00000089861	USP44
ENSDARG00000032627	SCYL2
ENSDARG00000045530	SI:CH211-244B2.4
ENSDARG00000098221	ST8SIA1
ENSDARG00000073766	TNNI1D
ENSDARG00000078749	B4GALNT3A
ENSDARG00000099850	IQSEC3A
ENSDARG00000041205	SLC6A1L
ENSDARG00000029071	CRELD2
ENSDARG00000041199	ALG12
ENSDARG00000024306	ZBED4
ENSDARG00000013596	BRD1A
ENSDARG00000069160	FAM19A5A
ENSDARG00000045510	TBC1D22A
ENSDARG00000069169	CERK
ENSDARG00000069171	GRAMD4A
ENSDARG00000069185	CELSR1A
ENSDARG00000043734	TRMU
ENSDARG00000014941	TPRKB
ENSDARG00000053917	ALG10
ENSDARG00000096007	ZNF1067
ENSDARG00000076272	ZNF1041
ENSDARG00000096034	SI:CH73-289H5.5
ENSDARG00000077488	SI:CH73-289H5.4
ENSDARG00000104584	CABZ01050663.1
ENSDARG00000074009	ZNF1059
ENSDARG00000079222	ZGC:174315
ENSDARG00000088214	SI:DKEY-23A23.3
ENSDARG00000101488	CR387997.2
ENSDARG00000070203	SI:DKEY-13E3.1
ENSDARG00000099486	CR387997.1
ENSDARG00000023036	SI:DKEY-23A23.2
ENSDARG00000101782	CR388132.2
ENSDARG00000097728	CR388132.1
ENSDARG00000094824	SI:DKEY-23A23.1
ENSDARG00000076054	ZNF1140
ENSDARG00000099043	CR847895.1
ENSDARG00000099224	CR847895.2
ENSDARG00000101105	CR847895.3
ENSDARG00000088082	SI:CH211-214C20.1
ENSDARG00000100661	BX248122.1
ENSDARG00000093489	ZNF1119
ENSDARG00000104762	BX530097.1
ENSDARG00000096063	SI:DKEY-191J3.1
ENSDARG00000104750	BX323023.2
ENSDARG00000092140	SI:CH211-231I17.3
ENSDARG00000094903	SI:CH211-231I17.4
ENSDARG00000093361	BX323023.1
ENSDARG00000094147	ZNF1111
ENSDARG00000101091	BX322597.1
ENSDARG00000101460	SI:DKEY-233E3.3
ENSDARG00000099837	SI:DKEY-199M13.7
ENSDARG00000100142	ZNF1083
ENSDARG00000103471	SI:DKEY-199M13.4
ENSDARG00000102799	ZNF1114
ENSDARG00000098876	SI:DKEY-199M13.5
ENSDARG00000098190	CR383668.1
ENSDARG00000104074	ZNF1052
ENSDARG00000101149	CABZ01001464.1
ENSDARG00000101202	CU302413.1
ENSDARG00000104741	ZGC:173619
ENSDARG00000098115	SI:DKEY-178J11.5
ENSDARG00000101374	SI:DKEY-11N14.1
ENSDARG00000099699	BX649620.1
ENSDARG00000098143	SI:DKEY-57L19.1
ENSDARG00000099444	ZNF996
ENSDARG00000104064	SI:RP71-5O12.3
ENSDARG00000099681	BX548173.1
ENSDARG00000101103	BX548173.2
ENSDARG00000103143	SI:DKEY-19C16.12
ENSDARG00000104412	SI:DKEY-72L17.5
ENSDARG00000100632	BX649328.1
ENSDARG00000102008	SI:DKEY-72L17.6
ENSDARG00000100793	CR450785.1
ENSDARG00000103879	CR450785.2
ENSDARG00000106172	BX005268.1
ENSDARG00000075731	ZGC:174698
ENSDARG00000100277	BX571878.1
ENSDARG00000073915	ZNF1085
ENSDARG00000094066	BX324003.1
ENSDARG00000089814	ZNF1042
ENSDARG00000099264	BX324003.3
ENSDARG00000096499	BX324003.2
ENSDARG00000098607	BX511182.1
ENSDARG00000096458	SI:DKEY-26H11.2
ENSDARG00000096437	SI:DKEY-26H11.1
ENSDARG00000095997	ZNF1112
ENSDARG00000095596	SI:DKEYP-4F2.6
ENSDARG00000095521	ZNF1090
ENSDARG00000096186	SI:DKEY-247I3.5
ENSDARG00000088378	ZNF1000
ENSDARG00000086449	ZNF1055
ENSDARG00000090366	ZNF1065
ENSDARG00000096011	SI:DKEYP-4F2.3
ENSDARG00000076252	SI:DKEY-247I3.1
ENSDARG00000103872	SI:DKEY-84H14.4
ENSDARG00000103314	SI:DKEY-84H14.1
ENSDARG00000090461	SI:CH211-197F20.1
